#{"t_start": 1730028739.5769324, "env_id": "None"}
r,l,t
197.80981,566,471.355118
181.380557,519,473.41895
4.886972,16,473.578469
281.743102,839,477.035019
181.639097,511,479.084579
50.814402,140,479.707099
166.586848,486,481.694351
1110.169156,3399,494.997564
1571.236284,4753,514.140278
160.034592,481,516.151234
145.707014,401,517.851286
272.40258,804,521.131413
322.828876,976,525.138655
823.189756,2428,535.038549
229.18488,669,537.617427
531.042421,1577,543.730222
340.741748,982,547.675076
145.22187,401,549.230037
185.594749,515,551.237972
238.085116,695,553.761223
117.787313,316,555.009618
97.719848,274,556.12237
89.543093,245,557.12
164.989552,457,558.900427
9.419278,29,559.1294
129.533371,375,560.717998
7.503332,24,560.923821
183.148678,517,563.040981
174.94491,513,565.227091
447.471783,1379,570.846061
175.710928,498,572.94452
-0.008937,3,573.05113
165.930977,470,575.03531
151.645303,429,576.839669
143.512482,387,578.475271
175.381907,525,580.585976
61.745645,172,581.352295
128.235256,374,582.889518
268.802988,800,586.014577
51.392615,137,586.614054
13.156878,38,586.847604
10.277935,31,587.061133
131.081524,377,588.586627
19.289171,53,588.889449
30.735497,83,589.291552
0.031041,3,589.39723
219.274333,666,592.095134
142.991282,396,593.92575
8.123742,25,594.123526
45.855212,129,594.821922
218.158705,656,597.423971
0.452658,4,597.540329
30.044706,85,597.991097
102.151936,272,599.183018
169.131632,508,601.238956
340.985759,962,604.942523
178.403763,508,606.966513
143.210665,408,608.649828
158.312481,444,610.497081
47.566409,137,611.137172
838.007368,2526,621.145113
368.813973,1089,625.458554
177.161844,513,628.185782
132.294192,377,629.749653
280.029445,799,632.878141
430.087758,1259,637.725571
179.916013,518,639.823287
174.958299,515,641.971389
260.932143,776,645.035583
355.780638,1088,649.220443
277.716256,809,652.184577
235.980238,664,654.665018
82.587904,231,655.57253
375.286513,1082,659.665181
134.841704,374,661.146008
131.991212,380,662.749476
329.241972,948,666.450135
0.066264,3,666.557368
50.350806,135,667.175113
141.589991,386,668.758993
177.651268,511,670.698024
30.550704,90,671.111477
100.352048,267,672.163041
57.754087,157,672.833505
42.234986,125,673.371013
11.307628,33,673.581446
2.586044,10,673.723037
6.738728,22,673.90326
79.054465,220,674.776193
0.914803,5,674.892046
8.087211,26,675.083555
5.322859,17,675.24616
153.108846,416,676.845771
6.878673,22,677.025511
3.63225,13,677.170349
3.981595,14,677.320366
29.935618,81,677.716978
6.337282,23,677.899947
77.880587,220,678.778546
7.641109,24,678.977249
155.581335,443,680.625043
130.033398,364,682.015717
137.809347,367,683.455446
329.87202,942,687.118875
133.958187,359,688.63998
174.04827,496,690.6294
180.815352,512,692.498776
174.204624,517,694.476898
1.905105,8,694.599757
133.720397,388,696.117772
179.73472,509,698.011053
71.609586,193,698.821489
130.320596,381,700.381218
3.77242,14,700.525951
101.21248,276,701.649217
31.063605,85,702.06001
192.609961,564,704.208445
58.751848,160,704.888709
132.675055,379,706.353981
177.800151,514,708.361444
180.174619,520,710.394348
339.147538,977,714.337915
278.036981,798,717.596503
83.758675,233,718.536952
125.498278,334,719.933447
173.06814,510,721.830479
181.789367,519,723.750413
338.341112,954,727.103978
423.841668,1260,731.574696
169.495601,510,733.486943
149.421576,410,735.066636
172.921516,518,737.267089
5.901866,20,737.454995
285.346996,807,740.254233
244.85654,713,742.677126
369.038131,1095,746.385025
43.388356,120,746.884516
184.480309,522,748.71589
259.687709,757,751.293772
3.911743,13,751.421014
0.96941,5,751.525501
7.230984,22,751.696668
174.876333,521,753.97897
