#{"t_start": 1729962371.660071, "env_id": "None"}
r,l,t
-0.23772,2,36.86052
-0.195505,5,36.953727
-0.193658,2,37.045934
-0.5,1,37.130457
-0.065261,4,37.218874
0.611162,6,37.314365
-0.196742,2,37.398982
-0.5,1,37.481559
-0.5,1,37.564947
-0.206533,2,37.649936
0.968306,6,37.742024
-0.5,1,37.82478
-0.341835,2,37.909366
-0.318321,3,37.99732
0.365455,4,39.133722
-0.541802,2,39.2232
-0.240249,3,39.310365
0.025711,3,39.39557
-0.145889,2,39.480959
-0.230936,3,39.569045
0.378857,6,39.664088
0.280851,5,39.758573
0.577865,5,39.851379
-0.059736,3,39.937015
0.08289,3,40.023912
0.227982,4,40.111438
-0.5,1,40.195516
3.247923,16,40.307375
-0.020734,3,40.395374
-0.257529,2,40.483225
-0.178461,2,40.566092
0.0982,3,40.652409
0.216506,5,40.741882
-0.177072,2,40.825634
0.198162,4,40.914367
-0.332129,3,40.999011
-0.017357,3,41.085872
-0.243635,2,41.175059
-0.5,1,41.25898
-0.006658,5,41.350209
0.452241,5,41.440623
-0.5,1,41.522828
0.039386,3,41.609366
-0.5,1,41.69637
0.204871,3,41.786112
0.143522,4,41.875204
-0.182415,2,41.959952
-0.5,1,42.040741
0.093691,3,42.129347
0.483986,5,42.22238
0.222466,4,42.310419
0.693908,6,42.403955
-0.304077,2,42.48941
0.578992,5,42.580305
-0.142693,2,42.666058
-0.5,1,42.747377
0.110061,3,42.833932
-0.173378,2,42.920526
0.432871,5,43.012916
-0.186706,2,43.097216
0.438698,5,43.193664
-0.250758,2,43.277447
-0.207863,3,43.363593
-0.055912,3,43.450447
-0.206604,2,43.535423
0.473591,6,43.63107
-0.5,1,43.714414
-0.244942,2,43.798026
-0.200169,2,43.883075
-0.544694,3,43.969052
0.552852,5,44.059445
0.021581,3,44.146947
0.283754,5,44.241898
-0.345265,2,44.330477
0.383342,8,44.429155
-0.042729,3,44.513863
0.074506,3,44.601033
-0.180365,2,44.683968
-0.5,1,44.770987
-0.037374,3,44.856918
-0.5,1,44.940477
0.051067,3,45.028411
0.496155,5,45.118713
-0.234818,2,45.205873
-0.5,1,45.291474
-0.162689,2,45.377785
0.136918,4,45.468029
0.563868,4,45.556833
0.238698,4,45.647757
-0.15494,2,45.733365
0.553515,5,45.826971
0.013362,4,45.915542
0.437615,4,46.006019
-0.186706,2,46.089753
0.121165,5,46.180954
-0.5,1,46.262877
-0.5,1,46.349418
0.605354,5,46.439561
-0.181968,2,46.524958
0.081944,3,46.614688
-0.5,1,46.697719
0.261069,5,46.789302
-0.5,1,46.87299
-0.5,1,46.956233
-0.5,1,47.038523
0.063005,3,47.126926
-0.5,1,47.219011
-0.5,1,47.303125
-0.5,1,47.387249
0.038864,3,47.472569
0.198125,5,47.56227
-0.5,1,47.643766
0.189824,4,47.733664
0.2358,3,47.818892
-0.5,1,47.900119
-0.5,1,47.984519
-0.5,1,48.068924
-0.214577,2,48.154354
-0.5,1,48.238429
0.058459,3,48.325895
-0.296351,2,48.414643
-0.268863,2,48.497011
-0.255522,2,48.582551
-0.042251,3,48.668878
-0.5,1,48.75089
1.161132,8,48.844692
0.111604,3,48.932903
0.000113,3,49.017075
-0.249223,2,49.10073
-0.5,1,49.182691
0.366695,4,49.273
-0.203208,2,49.355153
0.065363,3,49.440441
1.237909,9,49.543882
0.437538,4,49.632586
-0.147662,2,49.716239
-0.5,1,49.798974
-0.237831,3,49.885486
-0.5,1,49.969295
-0.5,1,50.053191
1.750295,9,50.151884
0.091982,3,50.239388
-0.001682,3,50.325483
-0.5,1,50.408368
-0.307004,2,50.493453
0.092792,3,50.579687
-0.525301,2,50.665559
-0.235315,2,50.747249
-0.5,1,50.830508
-0.135106,3,50.917275
-0.015851,3,51.000941
0.654802,5,51.093539
0.287723,4,51.183954
0.816687,6,51.281677
-0.173856,3,51.366934
0.113068,3,51.455746
0.278955,4,51.545973
-0.19872,3,51.630762
0.300881,4,51.72561
-0.184139,2,51.813345
-0.16359,2,51.943691
-0.219257,2,52.034368
0.114785,3,52.129379
0.127824,3,52.23037
-0.248166,2,52.323521
0.023943,3,52.417867
0.35758,4,52.513338
-0.011456,3,52.612051
-0.5,1,52.714373
1.331722,7,52.824154
-0.5,1,52.914446
0.047348,3,53.009335
-0.120981,3,53.095772
-0.252242,3,53.182716
-0.160723,2,53.27203
0.642695,5,53.362808
-0.013638,3,53.450703
2.810301,13,53.571951
-0.054074,3,53.66342
-0.445324,3,53.750716
-0.5,1,53.838091
-0.5,1,53.92401
-0.5,1,54.012741
1.122066,6,54.109476
0.285092,5,54.209376
0.563407,6,54.310388
-0.5,1,54.401098
-0.173038,2,54.492528
0.105594,3,54.584835
-0.206516,2,54.670411
1.138393,8,54.774928
0.437342,6,54.868935
0.078605,3,54.953635
-0.248579,3,55.03881
0.103139,3,55.128056
-0.283406,2,55.212287
0.059234,3,55.298981
0.267992,4,55.391294
-0.020538,3,55.478736
-0.012359,3,55.564692
-0.18258,2,55.652024
0.209504,4,55.745888
0.266367,4,55.840508
0.03609,3,55.931371
1.208598,6,56.029335
-0.264164,2,56.118661
-0.343957,2,56.209342
0.389267,4,56.303993
0.020538,3,56.39537
-0.5,1,56.481455
-0.223633,2,56.568467
0.968561,7,56.667912
-0.203131,2,56.755955
-0.5,1,56.84132
0.016497,3,56.930419
0.888307,6,57.028104
-0.5,1,57.114291
0.108899,3,57.209504
-0.414454,2,57.310334
-0.5,1,57.396321
0.542576,4,57.500905
-0.045636,3,57.590469
-0.5,1,57.686996
-0.5,1,57.780974
-0.05586,3,57.877244
0.676319,5,57.978667
-0.051791,4,58.084385
1.378701,9,58.18696
